,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2012,삼성,한국,26,C,,,4,10,10,10,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0.300,0.300,0.400,0.700,,,
1,2013,삼성,한국,27,C,,,5,8,7,6,0,1,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0.167,0.143,0.167,0.310,,,
2,2014,삼성,한국,28,C,,,5,11,10,9,2,2,0,0,0,2,1,1,0,0,1,0,1,0,1,0,0.222,0.300,0.222,0.522,,,
3,2015,삼성,한국,29,C,,,5,15,14,14,1,4,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0.286,0.286,0.286,0.572,,,
4,2019,키움,한국,33,C,,,3,11,11,10,1,3,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0.300,0.364,0.300,0.664,,,
5,2019,키움,플옵,33,C,,,3,14,14,11,0,4,0,0,0,4,1,1,0,3,0,0,2,0,0,0,0.364,0.500,0.364,0.864,,,
6,2019,키움,준플,33,C,,,4,13,12,12,1,4,1,0,0,5,0,0,0,0,0,0,1,0,1,0,0.333,0.333,0.417,0.750,,,
7,2020,키움,와카,34,C,,,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,,,
8,2021,키움,와카,35,C,,,2,5,5,4,1,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,,,
9,2022,키움,한국,36,C,,,6,25,23,18,1,6,0,0,0,6,2,0,0,5,0,0,1,0,2,0,0.333,0.478,0.333,0.811,,,
10,2022,키움,플옵,36,C,,,4,17,16,16,0,4,0,0,0,4,0,1,0,0,0,0,3,0,1,0,0.250,0.250,0.250,0.500,,,
11,2022,키움,준플,36,C,,,5,19,19,19,4,8,3,0,0,11,1,0,0,0,0,0,2,0,0,0,0.421,0.421,0.579,1.000,,,
