,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2008,SK,21,LF,-0.07,0.01,6,13,13,12,2,3,0,0,0,3,2,0,1,1,0,0,2,0,0,0,0.250,0.308,0.250,0.558,-0.060,54.7,-0.06
1,2009,SK,22,LF,-0.12,0.01,4,5,5,5,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,-0.173,-29.8,-0.11
2,2010,SK,23,LF,-0.02,0.01,4,5,5,4,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.250,0.400,0.250,0.650,-0.093,35.5,0.00
3,2013,SK,26,LF,0.90,-0.01,26,114,110,100,21,34,3,2,1,44,11,6,4,9,0,0,22,1,4,1,0.340,0.391,0.440,0.831,0.030,127.5,0.89
4,2014,SK,27,LF,1.67,0.03,83,314,307,285,54,105,13,2,4,134,28,8,6,21,1,0,47,7,7,0,0.368,0.414,0.470,0.884,0.176,125.3,1.70
5,2015,SK,28,LF,1.33,-0.40,137,582,571,521,88,164,30,2,3,207,35,22,10,35,11,0,86,7,11,4,0.315,0.368,0.397,0.765,0.128,96.7,0.93
6,2016,SK,29,LF,-0.37,0.38,99,326,316,287,29,78,7,4,1,96,22,14,8,23,4,0,37,3,10,2,0.272,0.332,0.334,0.666,0.096,67.3,0.02
7,2017,KIA,30,RF,2.25,0.49,115,512,498,464,79,154,24,4,9,213,63,8,7,28,3,0,57,2,14,3,0.332,0.371,0.459,0.830,0.149,112.6,2.75
8,2018,KIA,31,RF,1.23,0.56,120,502,489,447,88,135,28,6,4,187,42,12,5,40,3,3,64,5,11,1,0.302,0.363,0.418,0.781,0.137,98.4,1.79
9,2019,KIA,32,RF,0.95,0.47,80,302,298,265,37,75,10,2,1,92,21,4,3,28,4,1,41,4,3,2,0.283,0.358,0.347,0.705,0.117,98.9,1.42
10,2019,NC,32,RF,0.79,0.22,59,245,240,219,25,67,7,1,1,79,15,10,1,20,0,1,25,8,4,2,0.306,0.361,0.361,0.722,0.119,97.9,1.01
11,2020,NC,33,LF,1.54,-0.07,136,540,535,477,82,146,18,3,2,176,45,12,7,50,4,0,78,6,5,4,0.306,0.374,0.369,0.743,0.133,97.4,1.46
12,2021,NC,34,LF,1.44,-0.48,56,232,229,191,30,56,12,0,2,74,14,6,3,37,1,0,27,2,3,0,0.293,0.410,0.387,0.797,0.160,127.4,0.96
13,2022,NC,35,LF,0.24,-0.62,94,341,335,300,36,78,13,2,0,95,23,5,4,30,3,0,56,8,6,2,0.260,0.331,0.317,0.648,0.097,82.2,-0.38
14,2023,한화,36,DH,-0.39,0.02,14,42,42,40,2,7,1,0,0,8,5,1,0,2,0,0,9,0,0,0,0.175,0.214,0.200,0.414,0.003,2.7,-0.37
15,2024,한화,37,DH,-0.21,0.00,4,8,7,7,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0.000,0.000,0.000,0.000,-0.190,-132.5,-0.21
