,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2008,LG,19,C,6,,,,,,0,,,0.0,,,,,,0.0,,0.0,0.01,,,0.0,
1,1,1,2009,LG,20,C,54,,,,,,3,,,0.1,,,,,,-0.27,,-0.16,-0.44,,,-0.015,
2,2,2,2010,LG,21,C,50,,,,,,1,,,-0.09,,,,,,-0.39,,-0.48,-1.39,,,-0.045,
3,3,3,2011,LG,22,C,38,,,,,,0,,,-0.02,,,,,,0.33,,0.31,1.19,,,0.031,
4,4,4,2012,LG,23,C,100,,,,,,4,,,-0.32,,,,,,0.06,,-0.26,-0.37,,,-0.027,
5,5,5,2013,NC,24,C,112,100.0,789.0,687.0,627.0,53.0,7,99.0,7.76,-0.24,,-0.34,,0.04,0.56,2.71,9.83,12.56,16.14,7.56,20.12,1.262,2.022
6,6,6,2014,NC,25,C,108,98.0,785.0,683.0,632.0,45.0,6,99.1,7.76,-1.0,,1.62,,0.18,-0.99,4.83,,3.19,4.21,7.7,10.89,0.282,0.963
7,7,7,2015,NC,26,C,144,139.0,1086.2,984.0,922.0,59.0,3,99.7,8.12,0.21,,2.3,,0.05,0.82,0.69,,3.88,3.88,11.38,15.25,0.359,1.412
8,8,8,2016,NC,27,C,134,121.0,935.2,935.0,859.0,76.0,0,100.0,8.99,0.97,,3.34,,0.16,-0.68,-1.65,,2.64,2.84,9.48,12.12,0.234,1.075
9,9,9,2017,NC,28,C,132,122.0,957.1,931.0,859.0,63.0,9,99.0,8.67,1.04,,-0.47,,0.32,0.2,11.7,,9.28,10.13,10.08,19.36,0.853,1.778
10,10,10,2019,NC,30,C,15,7.0,71.1,50.0,46.0,4.0,0,100.0,6.31,-0.01,,0.21,,,0.53,1.46,,1.76,14.11,0.6,2.36,0.181,0.243
11,11,11,2020,NC,31,C,75,34.0,335.1,319.0,297.0,19.0,3,99.1,8.48,-0.29,,-0.44,,0.2,-0.44,-0.6,,-1.4,-2.51,2.93,1.53,-0.131,0.144
12,12,12,2021,NC,32,C,100,76.0,666.0,622.0,568.0,48.0,6,99.0,8.32,0.41,,-0.84,,0.25,0.88,3.81,,3.36,4.74,6.55,9.91,0.333,0.983
13,13,13,2022,삼성,33,C,69,40.0,390.0,350.0,323.0,26.0,1,99.7,8.05,0.35,,0.7,,0.08,1.02,-0.46,,1.83,2.58,4.1,5.93,0.188,0.611
14,14,14,2023,삼성,34,C,24,20.0,181.0,139.0,128.0,11.0,0,100.0,6.91,-0.28,,0.47,,-0.01,0.44,1.95,,1.98,2.51,2.02,4.0,0.202,0.408
15,15,15,2023,KIA,34,C,63,52.0,438.0,374.0,334.0,36.0,4,98.9,7.6,0.19,,-0.85,,0.01,1.16,-2.37,,-1.15,-1.45,4.61,3.46,-0.117,0.353
16,16,16,2024,KIA,35,C,101,82.0,640.2,611.0,567.0,38.0,6,99.0,8.5,0.81,,-0.7,,0.11,-1.1,5.58,,3.03,4.15,6.36,9.39,0.277,0.858
