,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2005,LG,19,C,79,,,,,,3,,,-0.11,,,,,,-0.18,,-0.29,-0.52,,,-0.029,
1,1,1,2006,LG,20,1B,48,,,,,,3,,,0.23,,,,,,,,0.23,0.7,,,0.025,
2,2,2,2009,LG,23,1B,68,,,,,,1,,,0.58,,,,,,,,0.58,1.24,,,0.054,
3,3,3,2010,LG,24,1B,78,,,,,,0,,,-0.56,,,,,,,,-0.56,-1.04,,,-0.053,
4,4,4,2011,LG,25,1B,15,,,,,,0,,,-0.02,,,,,,,,-0.02,-0.04,,,-0.002,
5,5,5,2011,키움,25,1B,51,,,,,,5,,,1.05,,,,,,,,1.05,2.3,,,0.105,
6,6,6,2012,키움,26,1B,133,,,,,,7,,,4.23,,,,,,,,4.23,4.59,,,0.445,
7,7,7,2013,키움,27,1B,119,118.0,1011.0,1067.0,982.0,80.0,5,99.5,9.45,2.79,,0.65,,-0.03,,,,3.41,3.83,-10.2,-6.79,0.342,-0.683
8,8,8,2014,키움,28,1B,115,115.0,979.0,1012.0,923.0,85.0,4,99.6,9.27,6.25,,0.11,,-0.09,,,,6.27,7.05,-10.38,-4.11,0.554,-0.364
9,9,9,2015,키움,29,1B,131,131.0,1124.1,1219.0,1114.0,93.0,12,99.0,9.66,5.8,,0.54,,0.44,,,,6.79,6.98,-11.68,-4.89,0.628,-0.453
10,10,10,2015,키움,29,3B,1,1.0,8.0,1.0,1.0,0.0,0,100.0,1.13,-0.94,,0.01,,,,,,-0.94,-0.96,0.0,-0.94,-0.087,-0.087
11,11,11,2018,키움,32,1B,101,101.0,841.2,889.0,821.0,57.0,11,98.8,9.39,2.62,,-0.65,,0.09,,,,2.06,2.62,-8.96,-6.9,0.184,-0.617
12,12,12,2019,키움,33,1B,108,108.0,906.2,1008.0,923.0,79.0,6,99.4,9.95,6.88,,-1.1,,0.01,,,,5.8,6.85,-9.46,-3.66,0.596,-0.376
13,13,13,2020,키움,34,1B,88,85.0,712.2,757.0,694.0,57.0,6,99.2,9.48,2.74,,-0.92,,0.02,,,,1.84,2.85,-7.32,-5.48,0.173,-0.515
14,14,14,2021,키움,35,1B,97,96.0,810.2,848.0,775.0,67.0,6,99.3,9.35,0.68,,-0.33,,-0.09,,,,0.26,0.32,-8.04,-7.78,0.026,-0.771
15,15,15,2022,KT,36,1B,107,105.0,873.0,942.0,861.0,74.0,7,99.3,9.64,6.66,,0.17,,-0.21,,,,6.63,7.7,-8.76,-2.13,0.683,-0.22
16,16,16,2023,KT,37,1B,92,89.0,730.1,735.0,669.0,61.0,5,99.3,9.0,6.2,,1.32,,-0.16,,,,7.37,8.03,-7.66,-0.29,0.751,-0.03
17,17,17,2024,삼성,38,1B,31,29.0,248.2,253.0,223.0,28.0,2,99.2,9.08,1.37,,0.23,,0.25,,,,1.85,2.22,-2.38,-0.53,0.169,-0.049
18,18,18,2024,KT,38,1B,32,23.0,227.1,206.0,189.0,15.0,2,99.0,8.08,1.19,,0.12,,0.06,,,,1.36,1.64,-2.18,-0.82,0.125,-0.075
