,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2008,LG,19,2B,1,,,,,,0,,,0.0,,,,,,,,0.0,0.72,,,0.001,
1,1,1,2012,키움,23,2B,127,,,,,,7,,,8.3,,,,,,,,8.3,9.41,,,0.872,
2,2,2,2013,키움,24,2B,86,83.0,698.0,426.0,174.0,248.0,4,99.1,5.44,0.01,,0.02,2.08,,,,,2.1,3.52,3.7,5.8,0.211,0.583
3,3,3,2014,키움,25,2B,125,125.0,1077.2,631.0,251.0,373.0,7,98.9,5.21,-1.78,,-0.75,0.24,,,,,-2.29,-2.57,6.04,3.75,-0.202,0.332
4,4,4,2015,키움,26,2B,72,67.0,566.0,333.0,148.0,174.0,11,96.7,5.12,0.1,,-2.02,-0.54,,,,,-2.47,-4.18,3.08,0.61,-0.228,0.057
5,5,5,2016,키움,27,2B,133,133.0,1125.1,692.0,328.0,349.0,15,97.8,5.41,3.59,,0.04,1.64,,,,,5.26,5.42,6.14,11.4,0.467,1.011
6,6,6,2017,키움,28,2B,122,120.0,1008.2,595.0,254.0,329.0,12,98.0,5.2,-2.59,,-0.52,1.61,,,,,-1.5,-1.55,5.48,3.98,-0.138,0.366
7,7,7,2018,키움,29,2B,6,6.0,52.0,29.0,17.0,12.0,0,100.0,5.02,-1.81,,0.07,-0.39,,,,,-2.13,-8.28,0.29,-1.84,-0.19,-0.164
8,8,8,2019,키움,30,2B,62,61.0,481.0,274.0,106.0,162.0,6,97.8,5.01,-3.05,,0.19,0.4,,,,,-2.46,-3.13,2.65,0.19,-0.252,0.02
9,9,9,2020,키움,31,2B,54,52.0,440.2,272.0,124.0,145.0,3,98.9,5.49,1.94,,0.41,0.1,,,,,2.45,2.61,2.46,4.91,0.23,0.461
10,10,10,2021,LG,32,2B,62,58.0,463.2,237.0,115.0,121.0,1,99.6,4.58,1.93,,0.09,0.23,,,,,2.25,2.25,2.44,4.69,0.223,0.465
11,11,11,2021,키움,32,2B,69,69.0,574.2,331.0,138.0,186.0,7,97.9,5.07,1.37,,0.23,0.93,,,,,2.53,2.53,3.21,5.74,0.251,0.57
12,12,12,2022,LG,33,2B,63,54.0,474.0,257.0,98.0,155.0,4,98.4,4.8,-3.68,,0.07,0.07,,,,,-3.54,-6.61,2.05,-1.49,-0.364,-0.153
13,13,13,2023,LG,34,2B,35,25.0,237.0,123.0,53.0,61.0,9,92.7,4.33,-1.4,,-1.83,-1.32,,,,,-4.55,-14.89,1.11,-3.44,-0.464,-0.351
14,14,14,2024,KIA,35,1B,51,25.0,276.2,275.0,241.0,30.0,4,98.5,8.82,-2.19,,-0.64,,-0.16,,,,-2.99,-4.58,-2.72,-5.71,-0.273,-0.521
15,15,15,2024,KIA,35,2B,34,18.0,158.0,86.0,34.0,51.0,1,98.8,4.84,1.28,,0.45,0.22,,,,,1.96,3.0,0.82,2.78,0.179,0.254
