,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2009,우리,19,P,45,13,32,5,0,0,3,2,1,2,80.0,49,52,52.0,363,64,,,12,70,0,0,79,,1,3,5.51,5.85,5.85,5.68,1.68,0.74
1,1,1,2010,키움,20,P,5,4,1,0,0,0,1,1,0,0,15.0,12,13,13.0,71,15,,,2,13,1,0,11,,0,0,7.2,7.8,7.8,6.38,1.87,0.02
2,2,2,2011,키움,21,P,6,3,3,3,0,0,3,1,0,0,21.0,5,5,5.0,84,15,,,0,11,0,0,11,,0,1,2.14,2.14,2.14,3.94,1.24,0.92
3,3,3,2012,키움,22,P,27,21,6,3,1,0,4,7,0,0,125.2,57,58,58.0,530,89,,,14,74,7,1,127,,0,7,4.08,4.15,4.15,4.26,1.3,1.76
4,4,4,2013,키움,23,P,41,17,24,5,0,0,6,6,0,7,130.0,63,69,65.85,568,112,21.0,2.0,6,75,8,0,131,4.0,0,8,4.36,4.78,4.56,3.81,1.44,2.76
5,5,5,2014,키움,24,P,24,6,18,6,0,0,1,1,0,1,42.0,36,43,44.0,215,60,6.0,0.0,17,32,1,0,36,4.0,1,6,7.71,9.21,9.43,9.36,2.19,-0.49
6,6,6,2016,키움,26,P,1,1,0,0,0,0,0,0,0,0,1.0,2,2,2.0,5,1,0.0,0.0,1,1,0,0,0,0.0,0,0,18.0,18.0,18.0,19.24,2.0,-0.06
7,7,7,2017,NC,27,P,36,5,31,7,0,0,2,1,0,0,54.2,27,30,35.15,245,57,10.0,0.0,14,24,2,0,51,1.0,0,4,4.45,4.94,5.79,6.4,1.48,0.58
8,8,8,2018,NC,28,P,69,0,69,9,0,0,7,5,1,17,54.2,37,41,40.3,243,54,10.0,1.0,10,26,1,0,65,3.0,0,4,6.09,6.75,6.63,5.08,1.46,-0.08
9,9,9,2019,NC,29,P,67,0,67,3,0,0,3,3,0,15,56.1,28,29,27.1,242,55,4.0,4.0,4,24,4,2,49,1.0,0,2,4.47,4.63,4.33,4.02,1.4,1.12
10,10,10,2020,NC,30,P,30,0,30,3,0,0,1,1,0,3,21.0,16,16,14.8,103,31,7.0,0.0,3,11,0,0,15,0.0,0,2,6.86,6.86,6.34,5.53,2.0,0.06
11,11,11,2021,NC,31,P,1,1,0,0,0,0,0,0,0,0,2.0,4,4,4.0,12,5,1.0,0.0,1,2,0,0,3,0.0,0,0,18.0,18.0,18.0,9.07,3.5,-0.14
12,12,12,2021,롯데,31,P,21,0,21,1,0,0,0,1,0,3,14.0,11,11,12.85,67,16,3.0,0.0,2,12,1,1,12,0.0,0,0,7.07,7.07,8.26,5.98,2.0,-0.18
13,13,13,2022,롯데,32,P,29,0,29,6,0,0,0,0,0,0,21.1,13,17,15.3,97,25,6.0,1.0,0,6,1,0,27,2.0,0,0,5.48,7.17,6.45,1.64,1.45,-0.01
