,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2012,한화,22,P,1,0,1,1,0,0,0,0,0,0,2.0,3,3,3.0,12,5,,,0,1,0,0,1,,0,0,13.5,13.5,13.5,3.79,3.0,-0.08
1,1,1,2013,한화,23,P,31,5,26,10,0,0,0,3,0,0,60.2,42,44,48.1,278,75,19.0,4.0,10,23,6,0,39,2.0,0,0,6.23,6.53,7.14,5.64,1.62,-0.41
2,2,2,2014,한화,24,P,30,26,4,0,0,0,7,10,0,0,153.0,90,100,96.0,677,183,31.0,6.0,27,41,7,2,96,7.0,1,10,5.29,5.88,5.65,5.74,1.46,2.92
3,3,3,2016,한화,26,P,29,25,4,1,0,0,5,8,1,0,112.1,62,66,62.35,512,128,20.0,0.0,15,62,3,1,60,9.0,0,2,4.97,5.29,5.0,6.29,1.69,2.69
4,4,4,2017,한화,27,P,16,12,4,1,0,0,3,6,0,0,59.0,47,49,46.25,275,79,16.0,1.0,12,26,2,1,29,1.0,0,2,7.17,7.47,7.06,6.87,1.78,0.26
5,5,5,2018,한화,28,P,63,0,63,13,0,0,4,2,0,12,79.1,25,30,34.6,325,66,11.0,1.0,10,23,4,2,85,4.0,0,4,2.84,3.4,3.93,4.18,1.12,2.57
6,6,6,2019,한화,29,P,55,1,54,8,0,0,1,6,0,10,66.2,43,44,47.25,283,74,11.0,2.0,8,13,3,0,64,4.0,0,4,5.81,5.94,6.38,3.58,1.31,-0.68
7,7,7,2020,한화,30,P,7,0,7,1,0,0,0,0,0,0,8.2,7,7,8.05,39,11,2.0,1.0,1,5,0,1,8,0.0,0,1,7.27,7.27,8.36,4.85,1.85,-0.06
8,8,8,2020,SSG,30,P,46,0,46,7,0,0,2,1,0,4,47.1,27,28,29.0,211,57,10.0,0.0,7,11,1,1,37,4.0,0,2,5.13,5.32,5.51,4.52,1.44,0.57
9,9,9,2021,SSG,31,P,40,14,26,3,0,0,5,10,0,4,103.2,66,66,68.25,456,123,23.0,1.0,25,32,1,1,62,3.0,0,2,5.73,5.73,5.93,6.1,1.5,0.75
10,10,10,2022,SSG,32,P,30,17,13,3,0,0,8,3,0,1,112.0,45,50,49.3,472,116,18.0,0.0,15,24,5,2,61,7.0,0,0,3.62,4.02,3.96,4.76,1.25,2.77
11,11,11,2023,한화,33,P,50,12,38,6,0,0,3,3,0,2,100.1,36,44,48.5,422,100,25.0,6.0,7,21,3,2,72,9.0,0,1,3.23,3.95,4.35,3.6,1.21,1.78
12,12,12,2024,한화,34,P,10,1,9,3,0,0,0,2,0,0,9.1,12,13,14.2,48,17,3.0,0.0,4,2,0,0,2,1.0,0,0,11.57,12.54,13.69,9.43,2.04,-0.5
